City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Kavieng,-2.5744,150.7967,27.49,78,16,4.5,PG,1674929253
160,Ifakara,-8.1333,36.6833,24.59,81,10,0.66,TZ,1674929253
161,Port Hardy,50.6996,-127.4199,5.5,81,97,3.13,CA,1674929254
162,Saint-Philippe,-21.3585,55.7679,26.77,90,100,0.59,RE,1674929254
163,Maningrida,-12.0667,134.2667,23.91,94,100,1.27,AU,1674929254
164,Salto,-31.3833,-57.9667,31.09,55,75,4.12,UY,1674929006
165,Bambous Virieux,-20.3428,57.7575,25.68,85,81,1.95,MU,1674929255
166,Price,39.5994,-110.8107,-1.41,74,75,2.06,US,1674929092
167,Kudahuvadhoo,2.6708,72.8944,27.16,74,94,6.06,MV,1674929255
168,Abhā,18.2164,42.5053,13.14,82,20,2.06,SA,1674929255
169,Carnarvon,-24.8667,113.6333,24.07,77,0,8.96,AU,1674929256
170,Humaitá,-7.5061,-63.0208,30.06,63,90,1.22,BR,1674929256
171,Ankang,32.68,109.0172,2.68,38,0,0.39,CN,1674929256
172,Upernavik,72.7868,-56.1549,-18.46,92,100,0.77,GL,1674929257
173,Kortkeros,61.8106,51.5806,-7.0,85,100,4.77,RU,1674929257
174,Alakurtti,66.9672,30.3491,-1.82,88,92,5.39,RU,1674929257
175,Prescott,34.54,-112.4685,8.14,31,0,2.68,US,1674929258
176,Yokadouma,3.5167,15.05,28.89,34,98,0.98,CM,1674929258
177,Zhangye,38.9342,100.4517,-8.88,44,2,2.34,CN,1674929258
178,Constitución,-35.3333,-72.4167,22.53,49,3,5.89,CL,1674929259
179,Skibbereen,51.55,-9.2667,8.95,97,94,1.6,IE,1674929259
180,Hangu,39.2489,117.7892,0.02,30,0,4.62,CN,1674929259
181,Songea,-10.6833,35.65,18.84,97,98,0.22,TZ,1674929260
182,Bara,10.3744,10.7288,29.1,13,66,2.41,NG,1674929260
183,Mēga,4.05,38.3,20.22,31,0,6.63,ET,1674929261
184,Acaraú,-2.8856,-40.12,29.36,64,39,7.3,BR,1674929261
185,Butaritari,3.0707,172.7902,27.23,78,13,11.13,KI,1674929261
186,Itarema,-2.9248,-39.9167,29.66,62,35,7.07,BR,1674929262
187,Dikson,73.5069,80.5464,-25.17,96,99,3.18,RU,1674929262
188,Kathmandu,27.7167,85.3167,10.47,64,20,1.54,NP,1674929105
189,Weiser,44.251,-116.9693,4.11,92,97,1.21,US,1674929263
190,Pevek,69.7008,170.3133,-18.76,93,100,1.88,RU,1674929263
191,Clyde River,70.4692,-68.5914,-18.87,78,100,9.26,CA,1674929263
192,Corinth,37.9407,22.9573,8.27,75,43,0.73,GR,1674929264
193,Smithers,54.7804,-127.1743,-9.11,91,96,0.92,CA,1674929207
194,Samarai,-10.6167,150.6667,28.06,78,70,4.52,PG,1674929264
195,Clarence Town,-32.5833,151.7833,24.36,96,28,1.13,AU,1674929265
196,Yangi Marg`ilon,40.4272,71.7189,-0.6,74,100,1.03,UZ,1674929265
197,Kingsport,36.5484,-82.5618,12.36,43,20,2.06,US,1674929127
198,Vestmanna,62.1564,-7.1664,5.51,87,100,8.75,FO,1674929265
199,Maragogi,-9.0122,-35.2225,28.71,57,51,5.57,BR,1674929087
200,San Juan,-31.5375,-68.5364,32.96,25,4,3.61,AR,1674929178
201,Rafaela,-31.2503,-61.4867,35.0,39,41,1.79,AR,1674929266
202,Cabo San Lucas,22.8909,-109.9124,24.23,64,20,1.54,MX,1674929081
203,Salamá,14.8333,-86.5833,27.34,37,46,3.02,HN,1674929266
204,Nurota,40.5614,65.6886,-2.01,73,6,2.48,UZ,1674929267
205,Ahipara,-35.1667,173.1667,19.25,96,85,2.9,NZ,1674929267
206,Mkushi,-13.6202,29.3939,18.76,96,100,0.79,ZM,1674929268
207,Sola,-13.8833,167.55,27.7,74,64,3.79,VU,1674929268
208,St. George's,12.0564,-61.7485,25.74,66,26,3.34,GD,1674929268
209,Astoria,46.1879,-123.8313,6.42,96,0,1.54,US,1674929104
210,Pacific Grove,36.6177,-121.9166,12.45,82,0,4.02,US,1674929269
211,Lorengau,-2.0226,147.2712,27.0,81,43,2.52,PG,1674929269
